municipio_norm,assoc
SUL BRASIL,AMOSC
TAIO,AMAVI
TANGARA,AMARP
TIGRINHOS,AMERIOS
TIJUCAS,GRANFPOLIS
TIMBE DO SUL,AMESC
TIMBO,AMVE
TIMBO GRANDE,AMARP
TRES BARRAS,AMPLANORTE
TREVISO,AMREC
TREZE DE MAIO,AMUREL
TREZE TILIAS,AMMOC
TROMBUDO CENTRAL,AMAVI
TUBARAO,AMUREL
TUNAPOLIS,AMEOSC
TURVO,AMESC
UNIAO DO OESTE,AMOSC
URUBICI,AMURES
URUPEMA,AMURES
URUSSANGA,AMREC
VARGEAO,AMAI
VARGEM,AMPLASC
VARGEM BONITA,AMMOC
VIDAL RAMOS,AMAVI
VIDEIRA,AMARP
VITOR MEIRELES,AMAVI
WITMARSUM,AMAVI
XANXERE,AMAI
XAVANTINA,AMAUC
XAXIM,AMAI
ZORTEA,AMPLASC
